policy,sigma,episode,reset_seed,reward,steps,success,max_force,mean_force,violation_rate,pre_frac,contact_frac,manip_frac,manip_entered,near_object_frac,safe_contact_ratio,safe_contact_per_near,contact_avoidance_index,grasp_detected_frac,lift_active_frac,close_active_frac,min_dist
SAC_Value_2M,0.06,9,9,2123.077518533023,500,1.0,63.82441231900725,5.7222294759277,0.006,0.01,0.022,0.954,1.0,0.986,0.18181818181818182,0.004056795131845842,0.9959432048681541,0.0,0.0,0.0,0.007056461180829204
SAC_Value_2M,0.06,10,10,2132.5597722786442,500,1.0,32.59321532858659,5.140166849323173,0.002,0.01,0.022,0.954,1.0,0.986,0.45454545454545453,0.010141987829614604,0.9898580121703854,0.0,0.0,0.0,0.0037104069013944524
SAC_Value_2M,0.06,11,11,239.83612282940288,500,0.0,94.10419087782142,17.43056032937944,0.052,0.054,0.6,0.134,1.0,0.788,0.51,0.3883248730964467,0.6116751269035533,0.0,0.0,0.0,0.012763723150771046
SAC_Value_2M,0.06,12,12,2193.069564759624,500,1.0,89.33205075365201,7.9171911100654055,0.054,0.006,0.024,0.95,1.0,0.98,0.5833333333333334,0.014285714285714285,0.9857142857142858,0.0,0.0,0.0,0.018177288481547305
SAC_Value_2M,0.06,13,13,2151.953472869921,500,1.0,53.44991784868192,5.51452280911863,0.004,0.006,0.022,0.956,1.0,0.984,0.09090909090909091,0.0020325203252032522,0.9979674796747967,0.0,0.0,0.0,0.00317494394269636
SAC_Value_2M,0.06,14,14,2165.887831358085,500,1.0,25.667988603308423,8.069414211423066,0.054,0.008,0.02,0.936,1.0,0.964,0.2,0.004149377593360996,0.995850622406639,0.0,0.0,0.0,0.017886496200217573
SAC_Value_2M,0.06,15,15,2085.0520861720847,500,1.0,61.42802437241695,5.267347179534336,0.004,0.008,0.03,0.936,1.0,0.974,0.2,0.006160164271047228,0.9938398357289527,0.0,0.0,0.0,0.007474010736856673
SAC_Value_2M,0.06,16,16,2147.467874510724,500,1.0,34.12653740863853,5.195113721610577,0.0,0.004,0.022,0.956,1.0,0.982,0.45454545454545453,0.010183299389002037,0.9898167006109979,0.0,0.0,0.0,0.0040903032421158655
SAC_Value_2M,0.06,17,17,2178.8280390046366,500,0.0,20.555263218206953,5.534825145112253,0.032,0.006,0.014,0.916,1.0,0.936,0.2857142857142857,0.004273504273504274,0.9957264957264957,0.0,0.0,0.0,0.014550687428018759
SAC_Value_2M,0.06,18,18,2235.551830076221,500,1.0,88.61672272105041,5.588037980957731,0.016,0.018,0.026,0.934,1.0,0.978,0.23076923076923078,0.006134969325153374,0.9938650306748467,0.0,0.0,0.0,0.014983316594052103
SAC_Value_2M,0.06,19,19,2114.5144453119015,500,1.0,29.82357118447804,6.7869168190999085,0.002,0.01,0.022,0.94,1.0,0.972,0.45454545454545453,0.0102880658436214,0.9897119341563786,0.0,0.0,0.0,0.003834650694360575
SAC_Value_2M,0.06,20,20,5.125784963668387,500,0.0,136.34522630402088,1.7170771043205582,0.142,0.016,0.026,0.0,0.0,0.042,0.23076923076923078,0.14285714285714285,0.8571428571428572,0.0,0.0,0.0,0.03199353839119023
SAC_Value_2M,0.06,21,21,175.77577268836615,500,0.0,103.89141806860641,14.552407970385492,0.152,0.104,0.47,0.088,1.0,0.662,0.35319148936170214,0.25075528700906347,0.7492447129909365,0.0,0.0,0.0,0.01600688173779142
SAC_Value_2M,0.06,22,22,18.070052645292833,500,0.0,154.9621976882328,1.8476552283261383,0.036,0.014,0.058,0.0,0.0,0.072,0.13793103448275862,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.009887968059743102
SAC_Value_2M,0.06,23,23,2201.8777058053197,500,1.0,27.015337959115637,5.655094961669807,0.188,0.008,0.024,0.954,1.0,0.986,0.5,0.012170385395537525,0.9878296146044625,0.0,0.0,0.0,0.004091988157811195
